dttm,temp,dwd_airport,dwd_urban,uni_meteo,wbi
2021-12-13 00:00:00,NA,4.3,5.1,4.793294,4.34
2021-12-13 01:00:00,6.1827,4.3,4.8,4.920958,4.36
2021-12-13 02:00:00,5.996,4,4.8,5.210452,4.14
2021-12-13 03:00:00,5.5865,3.5,3.9,5.111493,3.6
2021-12-13 04:00:00,5.364,2.6,3.3,4.683444,3.01
2021-12-13 05:00:00,5.2267,1.6,3.2,3.789137,2.46
2021-12-13 06:00:00,5.0373,1.3,3,3.350054,2.16
2021-12-13 07:00:00,4.9855,1.1,2.8,3.024318,2.08
2021-12-13 08:00:00,4.6923,1,2.7,2.683729,1.82
2021-12-13 09:00:00,5.2608,4.4,3.7,2.923671,2
2021-12-13 10:00:00,5.6718,4.8,4.9,2.924943,4.07
2021-12-13 11:00:00,6.3183,6.6,5.6,3.943239,5.25
2021-12-13 12:00:00,7.6643,8,6.8,5.793627,6.54
2021-12-13 13:00:00,9.2907,8.2,8.5,8.430618,7.8
2021-12-13 14:00:00,10.079,8.4,8.3,9.846099,8.36
2021-12-13 15:00:00,10.6342,8,8,9.891508,8.23
2021-12-13 16:00:00,9.9627,5.4,7,8.406984,6.77
2021-12-13 17:00:00,8.2648,4,5.8,7.235691,5.14
2021-12-13 18:00:00,7.4478,2,5,5.736312,3.72
2021-12-13 19:00:00,6.9943,2.7,4.4,4.959928,3.12
2021-12-13 20:00:00,6.522,2.7,3.7,4.289629,2.73
2021-12-13 21:00:00,6.03,1.3,3.6,3.657797,1.98
2021-12-13 22:00:00,5.4323,0.6,3.4,3.175737,2.11
2021-12-13 23:00:00,NA,1,2.7,2.835404,1.65
2021-12-14 00:00:00,5.5863,0.8,2.7,2.977258,1.16
2021-12-14 01:00:00,5.0717,0.7,2,2.534303,0.89
2021-12-14 02:00:00,5.0717,1.7,1.7,2.145208,0.66
2021-12-14 03:00:00,4.7097,1.4,1.6,2.239158,0.49
2021-12-14 04:00:00,3.8035,0.2,0.6,1.687944,-0.14
2021-12-14 05:00:00,3.7177,1.5,1.4,1.531975,0.25
2021-12-14 06:00:00,4.0148,1.5,1.8,1.234,1.01
2021-12-14 07:00:00,4.3282,1.5,1.8,1.649405,1.47
2021-12-14 08:00:00,4.4485,2.2,2.1,2.063154,1.58
2021-12-14 09:00:00,4.848,2.4,2.5,2.225342,1.89
2021-12-14 10:00:00,5.295,3.3,3.6,2.559954,2.51
2021-12-14 11:00:00,5.8253,3.7,4.6,3.13448,3.14
2021-12-14 12:00:00,5.1578,3.8,4.3,4.565532,2.28
2021-12-14 13:00:00,5.4838,3.8,4.3,4.027928,3
2021-12-14 14:00:00,5.6207,3.9,4.3,4.324934,3.4
2021-12-14 15:00:00,5.8083,3.8,4.5,4.485476,3.94
2021-12-14 16:00:00,5.757,3.5,4.3,4.697997,3.54
